"SpeciesNum","SpeciesName","DataEntryName","SpecCode","SpecTSN","WebName","WebTSN","SpecAddDate","SpecNotes","SpecSSPGroup"
"71","Corvus corax","Corvus corax","Corcur","179725",NULL,"drop","20100530","Raven","bird"
"72","Ulva intestinalis","Ulva intestinalis","Ulvint","6536","Ulvaceae","6501","20100530",NULL,"green alga"
"73","Prasiola","Prasiola","Praspp","6394",,"drop","20100530","Any Prasiola species","green alga"
"74","Rostanga pulchra","Rostanga pulchra","Rospul","78211",,,"20100530","Red nudibranch; often under 1cm; usually in association with red sponge","nudibranch"
"75","Diaulota densissima","Diaulota densissima","Diaden","113270","Staphylinidae","113265","20100530","High shore beetle","terrestrial arthropod"
"76","Eumetopias jubatus","Eumetopias jubatus","Eumjub","180625",,"drop","20100530","Stellar sea lion","mammal"
"77","Hydrozoa","Hydrozoa","Hydroz","48739","Hydrozoa","48739","20100530","Any UIDd hydroid","hydroid"
"78","Tunicata","Tunicata","Tunica","203347","Urochordata","158853","20100530","Any other UIDd tunicate; excluding the Orange Brain and Peachy Tunicate and Styela and Pyura and Clavelina","tunicate"
"79","Porphyra","Porphyra","Porspp","11540","Porphyra","11540","20100530","all porphyras except P nereocystis","red alga"
"80","Hildenbrandia rubra","Hildenbrandia rubra","Hilrub",NULL,"Red crust complex","san338","20100530","All bright red crusts","red alga"
"81","Smithora naidum","Smithora naidum","Sminai","11524",,,"20100530","epiphyte on Zostera","red alga"
"82","Chaetomorpha spp","Chaetomorpha spp","Chaspp","6747","Cladophoraceae","6746","20100530","Like Acrosiphonia except crunch when ya bite em","green alga"
"83","Cladophora","Cladophora","Claspp","6763","Cladophoraceae","6746","20100530","All cladophora-looking things forming green tufts/matts","green alga"
"84","Ophlitaspongia pennata","Ophlitaspongia pennata","Ophpen","48006","Ophlitaspongia","48005","20100530","red sponge","sponge"
"85","Anthopleura xanthogrammica","A xanthogrammica","Antxan","52553","Anthopleura","52551","20100530",NULL,"anemone"
"88","Phyllospadix scouleri","Phyllospadix scouleri","Physco","39071",,,"20100530","surf grass, flat","seagrass"
"91","Codium fragile","C fragile","Codfra","6897","Codiaceae","6895","20100530","Gayle Hansen AK seaweeds website says northern limit is PWS, but it's definitely on Kodiak at Chiniak Head.","green alga"
"92","Codium ritteri","C ritteri","Codrit",NULL,"Codiaceae","6895","20130724","Codset has microscopic utricles, Codrit has large utricles, visible without magnification","green alga"
"93","Urticina lofotensis","Urticina lofotensis","Urtlof",NULL,"Urticina","52569","20100530","bright red; image 6405","anemone"
"95","Dodecaceria sp","Dodecaceria sp","Dodspp","67165",,,"20100530","Little tube worms colonies often in coralline crusts","worm"
"96","Anthopleura elegantissima","A elegantissima","Antele","52552","Anthopleura","52551","20100530",NULL,"anemone"
"97","Coralline Crust Complex","Coralline Crust Complex","CoCrCo",NULL,"Coralline Crust Complex","san262","20100530","All coralline crust algae except Melobesia","red alga"
"99","UID Brain Tunicate","Brain Tunicate","UIDBrT",NULL,"Urochordata","158853","20100530","Translucent tunicate; usually orange, but sometimes white or other colors; v common; eg image 6407 from Kodiak","tunicate"
"100","Membranipora","Membranipora","Membra",NULL,"Gymnolaemata","155471","20100530","all white epiphytic encrusting bzoans; on Lamlong at Kiska","bryozoan"
"101","Melobesia","Melobesia","Melobi",NULL,"Coralline Crust Complex","san262","20100530","encrusting coralline on phyllospadix","red alga"
"103","Schizymenia Complex","Schizymenia Complex","SchCom",NULL,,"drop","20100530","all slippery red blades","red alga"
"104","Crustose Brown Alga Complex","Crustose Brown Alga Complex","CBACom",NULL,,"drop","20100530","These are crustose brown algae in Class Phaeophyceae; many different Orders; often just alternate life stages of species with noncrustose forms","brown alga"
"108","Clavelina spp","Clavelina spp","Clvspp",NULL,,,"20100530","light bulb tunicate; image 6408","tunicate"
"109","Petrolisthes spp","Petrolisthes spp","Petspp","98059",,,"20100530","Porcellin crab; flattened; round carapace; similar to Pachyceles, but with smooth claws","crab"
"110","Desmarestia","Desmarestia","Desmar",NULL,"Desmarestia","11314","20130724","all Desmarestia","brown alga"
"114","Heteropora spp","Heteropora spp","Hetspp",NULL,"Gymnolaemata","155471","20100530","hard staghorn bryozoan; yellow to cream","bryozoan"
"115","Chondracanthus exasperata","C exasperata","Conexa",NULL,,,"20100530",NULL,"red alga"
"117","Archidoris montereyensis","Archidoris montereyensis","Arcmon","78213","Archidoris montereyensis","78213","20100530","with spots that extend onto papillae.  I realized the distinction between this and A nobilis on 20100603 and decided they were all this species after some more looking around Kyuquot; SAT says new name is Doris mon.","nudibranch"
"118","Crepidula spp","Crepidula spp","Crespp","72619","Crepidula","72619","20100530","All slipper snails","snail"
"119","Eupentacta pseudoquinquesemita","Eupentacta pseudoquinquesemita","Euppse","158188","Eupentacta","158187","20130705",NULL,"cucumber"
"120","Oedignathus inermis","Oedignathus inermis","Oedine","97929",,,"20100530","originally called TO ID Big Handed Crab; quite common; pics on 20100530 (eg); one large claw, with many bumps","crab"
"121","Cancer productus","C productus","Canpro","98672","Cancer","98671","20100530","similar to Canore, but widest at last tooth on carapace, black tip claws","crab"
"123","Nucella emarginata","N emarginata","Nucema","73295","Nucella emarginata","73295","20100530",NULL,"whelk"
"124","Platyhelminthes","Platyhelminthes","Platyh","53963","Platyhelminthes","53963","20100530","All flatworms","worm"
"125","Gastroclonium subarticulatum","Gastroclonium subarticulatum","Gassub",NULL,,,"20100531",NULL,"red alga"
"126","UID Sandy Tube Worm Complex","UID Sandy Tube Worm Complex","STWCom",NULL,"Sabellidae","68076","20100531","All sandy encased tube worms (hard or soft)","worm"
"127","Amphissa columbiana","Amphissa columbiana","Ampcol","73535","Amphissa","73534","20100531","Any Amphissa spp","whelk"
"128","Macrocystis pyrifera","Macrocystis pyrifera","Macpyr","11274",,,"20100531","sarah says pyrifera and integr were combined into the same species","brown alga"
"129","UID Smooth Chiton Complex","UID Smooth Chiton Complex","SChCom",NULL,,"drop","20100531","All smooth chitons","chiton"
"130","Megatabennus bimaculatus","Megatabennus bimaculatus","Megbim",NULL,,,"20100531","definitely a megatabennus, but I guess I'm not 100% certain it's this spp; see photos from from Gay Pass Site","limpet"
"131","Gunnell Complex","Gunnell Complex","GunCom",NULL,"Pholidae","171632",NULL,"All gunnel-looking fish, including pricklebacks, etc","fish"
"132","Alaria marginata","Alaria marginata","Alamar","11293","Alaria","11289","20100531",NULL,"brown alga"
"134","Porifera","Porifera","Porife","46861",,"drop","20100531","Any unIDd sponge; excludes Haliclona, Halichondria","sponge"
"135","Diptera","Diptera","Dipter","118831",,,"20100531","Any true fly","insect"
"136","UID Sculpin Complex","UID Sculpin Complex","ScuCom",NULL,,"drop","20100531","Any sculpin fish","fish"
"137","Ocenebra spp","Ocenebra spp","Ocespp","73242",,,"20100531",NULL,"whelk"
"138","Cnemidocarpa finmarkiensis","Cnemidocarpa finmarkiensis","Cnefin",NULL,,,"20100531","tunicate; red; siphons off to one side; smooth; oclair and sketches in Lights; somewhat certain of this ID; however, it could be Metrandrocarpa if it's colonial; see plate 29 in little Kozloff guide","tunicate"
"139","Erythrophyllum delesserioides","Erythrophyllum delesserioides","Erydel",NULL,,"drop","20100531","blade","red alga"
"140","Littorina scutulata","L scutulata","Litscu","70401","Littorina","70395","20100531","am separating the Litts into Litsit and Litscu: ignoring intermediate spp like Lit uh, what's it called","snail"
"141","Diodora aspera","Diodora aspera","Dioasp","69549",,,"20100531","Keyhole limpet","limpet"
"142","Urticina piscivora","Urticina piscivora","Urtpis","611869","Urticina","52569","20100531","Rosey anemone (lights); pretty certain of ID;","anemone"
"143","Sphaeromatidae","Sphaeromatidae","Sphaer","92283","Sphaeromatidae","92283","20100531","Any 'pill bug' isopod such as Gnorimosphaeroma","isopod"
"145","Hemigrapsus nudus","H nudus","Hemnud","99035",,,"20100531","purple shore crab","crab"
"146","Hemigrapsus oregonensis","H oregonensis","Hemore","99036",,,"20100531",NULL,"crab"
"148","Bittium spp","Bittium spp","Bitspp","71976",,,"20100531","long and skinny","snail"
"150","Rhodoglossum affine","Rhodoglossum affine","Rhoaff","12141",,"drop","20100531","looks like some of the low NZ gigartinas; ID from MAC; reasonably certain ID; pressed 20100531","red alga"
"151","Larus","Larus","Larspp","176803",,"drop","20100531","all gulls","bird"
"152","Turdus migratorius","Turdus migratorius","Turmig","179759",,"drop","20100531","american robin","bird"
"153","Brachyramphus marmoratus","Brachyramphus marmoratus","Bramar","176996",,"drop","20100531","marbled murrelet","bird"
"154","Spirorbidae","Spirorbidae","Spiror","68383","Sabellidae","68076","20100531","All spirorbids","worm"
"155","Scytosiphon lomentaria","Scytosiphon lomentaria","Scylom","11435",,"drop","20100531","no constrictions; new name for S simplicissimus (changed 20130630)","brown alga"
"156","Ligia","Ligia","Ligspp","93226","Ligia","93226","20100531","extreme high shore","isopod"
"157","Porphyra nereocystis","P nereocystis","Porner","11547","Porphyra","11540","20100531","porphyra epiphytic on Ner leut","red alga"
"158","Polinices spp","Polinices spp","Polspp","72911",,,"20100531","big moon snails","snail"
"159","Gymnolaemata Crust","Gymnolaemata Crust","GymCru","155471","Gymnolaemata","155471","20100601","Crustose bryozoans","bryozoan"
"161","Ceratostoma foliatum","Ceratostoma foliatum","Cerfol","73240",,"drop","20100601",NULL,"whelk"
"163","Lontra canadensis","Lontra canadensis","Loncan",NULL,,"drop","20100601","river otter","mammal"
"165","Orcinus orca","Orcinus orca","Orcorc","180469",,"drop","20100530","killer whale","mammal"
"166","Crustose Green Alga Complex","Crustose Green Alga Complex","CGACom",NULL,,"drop","20100602","All green algal crusts","green alga"
"168","Evasterias troschelii","Evasterias troschelii","Evatro","157224","Evasterias troschelii","157224","20100602",NULL,"star"
"169","Microcladia coulteri","M coulteri","Miccou",NULL,"Microcladia","13080","20100602",NULL,"red alga"
"171","Lithopoma gibberosa","Lithopoma gibberosa","Litgib","70118",,,"20100604","Previously Astraea gibberosa (Astgib) (changed 20100606)","snail"
"172","Histrionicus histrionicus","Histrionicus histrionicus","Hishis","175149",,"drop","20100605","Harlequin duck","bird"
"173","Nemalion helminthoides","Nemalion helminthoides","Nemhel",NULL,,,"20100606","there's only one Nemalion species","red alga"
"174","Saldidae","Saldidae","Saldid",NULL,,,"20100606","True bug; totally black; oval shaped; IDd by dieta in Bams in 200608.","insect"
"175","Neovison vison","Neovison vison","Neovis",NULL,,"drop","20100606","American mink","mammal"
"176","Gobiesocidae","Gobiesocidae","Gobies","164457","Gobiesocidae","164457","20130630","All gobis","fish"
"178","Fratercula cirrhata","Fratercula cirrhata","Fracir",NULL,,"drop","20100608","Tufted puffin","bird"
"179","Corallina","Corallina","Corspp","12322","Corallina","12322","20100530","Common coralline; not big chunky tubular like bossiella; I think everything in the Rat Isls in 2014 was Corallina","red alga"
"180","Hermissenda crassicornis","Hermissenda crassicornis","Hercra","78699","Hermissenda crassicornis","78699","20100610",NULL,"nudibranch"
"181","Laminaria bongardiana","Laminaria bongardiana","Lambon",NULL,"Laminaria","11217","20100610","blade broad, flat, and dark at base. Likely a combo of what Gayle calls Saccharina dentigera and Laminaria yezoensis (on http://www.seaweedsofalaska.com).","brown alga"
"182","Triopha catalinae","Triopha catalinae","Tricat","78332","Triopha catalinae","78332","20100610","clown nudi; white with orange dots","nudibranch"
"183","Halobisium occidentale","Halobisium occidentale","Halocc","82726",,"drop","20100616","pseudoscorpion","pseudoscorpion"
"185","Navicula spp","Navicula spp","Navspp",NULL,"Bacillariophyta","2286","20100616","diatom chains","plankton"
"186","Cancer oregonensis","C oregonensis","Canore","98677","Cancer","98671","20100530","small (<2in) filter-feeding, rounded carapace, black tip claws; prior to 201006XX there was confusion with Conpro; I think it's safe to assume that all Canpro prior to then were Canore, so they're being changed.","crab"
"187","Ralfsia fungiformis","Ralfsia fungiformis","Ralfun","10855","Phaeophyta Crust","san252","20100615","brown algal crust that looks like fungus","brown alga"
"188","Lirabuccinum dirum","Lirabuccinum dirum","Lirdir",NULL,"Lirabuccinum","73727","20100530","old name was Searlesia dira","whelk"
"189","Caprellidae","Caprellidae","Carpre","95375","Caprellidae","95375","20100530","Caprellid amphipods","amphipod"
"190","AA NO SPECIES FOUND","AA NO SPECIES FOUND","AANoSF",NULL,,"drop","20100530","No species found in sampling unit","none"
"191","AA MISSING DATA","AA MISSING DATA","AAMiDa",NULL,,,"20100530","Unit was not sampled","none"
"192","Bare Space Secondary","B Secondary","BareSe",NULL,,"drop","20100609",NULL,"none"
"193","Bare Space Primary","B Primary","BarePr",NULL,,"drop","20100609",NULL,"none"
"194","Slope","Slope","Slopex",NULL,,"drop","20100530","1 (flat) - 10 (vertical)","none"
"195","Roughness","Roughness","Roughn",NULL,,"drop","20100530","1 (smooth) - 10 (rough)","none"
"198","Saccharina sessile Holdfast","H sessile Holdfast","SaseHf","11255","Saccharina sessile","11255","20100530","percent cover holdfasts","brown alga"
"199","Transect Distance","Tdistance","TraDis",NULL,,"drop","20100609","For QUADRATS, the distance along transect in DECImeters.  For BELTTRANS, the total distance of the SEGMENT (usually each vertical foot) in DECImeters.  Decimeters are to make INTEGER vals.  Weird, yes, but that's the scale at which it was measured, and otherwise it'll be the only decimal num.","none"
"200","Lottiidae Recruits","Lottiidae Recruits","LotRec","204927",,"drop","20100609","Limpet recruits","limpet"
"201","Substrate","Substrate","Substr",NULL,,"drop","20100609","the divers' categories as.numeric: 1=bedrock 2=boulder 3=cobble 4=mixed coarse 5=gravel 6=sand 7=mud","none"
"202","Elevation","Elevation","Elevat",NULL,,"drop","20100609","elevation above datum in INCHES; for use with belt trans, the quad elevations are given in index_quad table","none"
"203","Pikea Farlowia Complex","Pikea Farlowia Complex","PiFaCo",NULL,,,"20100530","I'm having a hell of a time distinguishing these (or even deciding if I have both or just one).  Made some presses.  Lumping them together.","red alga"
"205","UID Spider","UID Spider","UIDSpi",NULL,,"drop","20100606","terrestrial spider; seen in intertidal amonst mussels and barnacles at Bunsby West and Bunsby East sites (>2 at each); according to guides, there aren't any intertidal spiders in BC; either they've all wandered astray (not likely) or that's incorrect; no collection, but some photos; would be nice to get this Idd","arachnid"
"207","Ritterella rubra","Ritterella rubra","Ritrub",NULL,,,"20100610","Like ""red blobs of jelly""; bright red is a distinguishing feature, so is ""little to no sand""; I'm pretty confident of this ID using web pics and Lights manual","tunicate"
"208","UID Orange Fungus Bryozoan","UID Orange Fungus Bryozoan","UIDOFB",NULL,"Gymnolaemata","155471","20100610","An orange bzoan crust that flares up around edges to look like a fungus; very similar to this image (http://seanet.stanford.edu/Bryozoa/index.html#Membranipora_fusca) of Membranipora fusca and (http://www2.ucsc.edu/seymourcenter/Inverts/Bryozoa/Hippoporina_insculpta/Hippoporina_insculpta.html) of Hippoporina insculpta, among others, so I'm unsure of the ID","bryozoan"
"209","Sand","Sand","Sandxx",NULL,,"drop","20100610","And sand or sediment smaller than cobble","none"
"210","Bossiella","Bossiella","Bossie","12441","Bossiella","12441","20100610","the big chunky one like whats common on the low shore in the lower 48","red alga"
"211","Patiria miniata","Patiria miniata","Patmin","157133",,,"20100611","webbed star, like Dermas but darker and leatherier","star"
"212","Cucumaria miniata","Cucumaria miniata","Cucmin",NULL,"Cucumaria","158191","20100611","Large orange cucumber; up through 20100618 I thought they were Parastichipus, but based on what sarah told me and lots of photo-browsing I think they were all Cucmin (20100715)","cucumber"
"213","Styela","Styela","Styela",NULL,"Styela","159300","20100611","orange tunicate on stalk","tunicate"
"214","Polynoidae","Scale Worm Complex","Polyno","64397","Polynoidae","64397","20100611","scale worm family; many many genera","worm"
"215","UID Scallop Complex","UID Scallop Complex","ScaCom","san140",,"drop","20100611","scallops make up some but not all genera in the family Pectinidae","bivalve"
"217","Placiphorella velata","Placiphorella velata","Plavel",NULL,,,"20100611","carnivorous chiton!","chiton"
"218","Rhodymenia spp","Rhodymenia spp","Rhospp","12753",,,"20100611","Small red blades like cpleura, but a little firmer with lobate rounded tips; I'm not sure everything going into this group is in this genus, but it's a good guess","red alga"
"221","Balanophyllia elegans","Balanophyllia elegans","Balele",NULL,,"drop","20100611","hard orange cups; cool; photo on 20100611; sarah could ID off-hand; she's certain of the ID from 20100611","cup coral"
"224","Epiactis prolifera","Epiactis prolifera","Epipro","52563","Epiactis","52562","20100612","little brown anemone often with white stripes around base and little brooded babies on column","anemone"
"225","Flustrellidra","Flustrellidra","Fluspp",NULL,"Gymnolaemata","155471","20100614","upright fuzzy mittens","bryozoan"
"227","Constantinea rosa-marina","Constantinea rosa-marina","Conros",NULL,NULL,"drop","20130724","Conros has entire blades and no veins on underside of blade (compared to Consub)","red alga"
"228","Siphonaria thersites","Siphonaria thersites","Sipthe","76444","Siphonaria thersites","76444","20100614",NULL,"limpet"
"229","Tubulanus spp","Tubulanus spp","Tubspp","57416",,"drop","20100615","really long (up to 3m) skinny bright red nemertean; probably T polymorphus","worm"
"230","Megaceryle alcyon","Megaceryle alcyon","Megalc",NULL,,"drop","20100615","kingfisher","bird"
"231","Corvus brachyrhynchos","Corvus brachyrhynchos","Corbra","179731",,"drop","20100615","american crow","bird"
"232","Dirona albolineata","Dirona albolineata","Diralb","78580",,,"20100615","all white nudibranch with bright white trim and tips","nudibranch"
"233","Cancer gracilis","Cancer gracilis","Cangra","98676","Cancer","98671","20100615","similar to Canore and Canpro, but white claw tips, and often larger (to 4.5in wide); distinguished from Canmag by widest at carapace 2nd to last (9th) spine, instead of last (10th) spine","crab"
"234","Ophiurida","Ophiurida","Ophiur","157382","Ophiuroidea","157325","20100615","Class containing all brittle stars","star"
"235","Anthopleura artemesia","Anthopleura artemesia","Antart",NULL,"Anthopleura","52551","20100615","often buried in sand, white lines on tents.  Perhaps also includes A orientalis (see pics on actiniaria.com).","anemone"
"236","Gymnogongrus Complex","Gymnogongrus Complex","GymCom",NULL,,"drop","20100616","all wiry little red seaweeds; a complex because it probably includes ahnfeltia/opsis, etc","red alga"
"241","Nucella lima","N lima","Nuclim","73296","Nucella lima","73296","20130618",NULL,"whelk"
"242","Palmaria","Palmaria","Palspp","12841","Palmaria","12841","20130618",NULL,"red alga"
"243","Strongylocentrotus droebachiensis","Strongylocentrotus droebachiensis","Strdro","157969","Strongylocentrotus droebachiensis","157969","20130618","green urchins","urchin"
"244","Cymathere triplicata","Cymathere triplicata","Cymtri","11253",,"drop","20130618",NULL,"brown alga"
"245","Cirratulus spectabilis","Cirratulus spectabilis","Cirspe","67120","Terebellidae","67899","20130618","spagetti worm with red tentacles","worm"
"246","Schizobranchia insignis","Schizobranchia insignis","Schins","68149","Sabellidae","68076","20130618","big tube worm; semisoft tube","worm"
"248","Anthopleura","Anthopleura","Antspp","52551","Anthopleura","52551","20130630","Things that look like Anthopleura.  On Kodiak, very common and probably A artemesia.  Elsewhere, who knows, but reasonably certain they're at least Anthopleura spp.  Ohh on Kiska I bet they're also A orientalis (see pics on actiniaria.com)","anemone"
"249","Margarites pupillus","Margarites pupillus","Marpup","69887","Trochidae","69794","20130630","Small pink snail with hole on underside","snail"
"250","Gymnolaemata Erect","Gymnolaemata Erect","GymEre","155471","Gymnolaemata","155471","20130630","Upright bryozoans","bryozoan"
"251","Urticina grebelnyi","Urticina grebelnyi","Urtgre",NULL,"Urticina","52569","20130630","Christmas colors; may also include Urticina crassicornis","anemone"
"252","Soranthera ulvoidea","Soranthera ulvoidea","Sorulv","11066",,"drop","20130630","bubbly","brown alga"
"254","Cystoseira geminata","Cystoseira geminata","Cysgem","11366","Cystoseira","11365","20130630",NULL,"brown alga"
